Age,Income,Credit_Score,Loan_Amount,Approved
59,82459,742,185916,1
32,199181,613,895888,0
53,93713,613,401393,0
21,139778,334,373464,0
63,130772,566,590447,0
25,115456,749,720617,1
30,86307,461,367195,0
45,136784,557,592767,0
58,115439,719,752315,1
54,51635,699,98838,1
22,101761,726,110256,1
57,72796,659,925326,1
63,160994,543,69907,0
54,33576,775,893103,1
64,128306,301,44760,0
54,13764,733,565910,0
21,52612,788,115441,1
23,185688,665,474234,1
35,142120,325,967821,0
51,183187,358,343867,0
44,20136,323,649966,0
44,105037,667,321516,1
37,113535,469,314428,0
60,36607,364,602531,0
63,178349,391,608609,0
63,136009,302,214526,0
34,109753,655,556756,1
43,101087,653,302439,1
40,22676,514,86799,0
47,87866,629,52450,0
40,105997,361,451861,0
57,132643,622,937759,0
54,89283,346,361452,0
50,116496,337,760037,0
49,48210,814,21698,1
42,179134,442,874577,0
42,117807,658,771323,1
47,175210,656,679363,1
60,158720,605,109593,0
63,47744,398,576113,0
50,148877,792,155035,1
25,53384,693,508937,1
24,55267,694,900313,1
30,162977,526,93870,0
65,167096,502,848437,0
43,184851,621,310034,0
34,113739,753,304816,1
60,71178,525,639281,0
38,46360,809,639505,1
36,31403,313,503308,0
56,176943,839,146814,1
44,177079,609,455314,0
35,116245,356,16589,0
57,180630,829,221108,1
39,78442,628,356660,0
53,105880,551,965721,0
32,155954,558,805142,0
53,150103,635,262772,0
23,118501,660,239038,1
35,123144,361,149121,0
29,57452,728,149938,1
27,172887,501,584206,0
56,168152,488,405961,0
37,59403,391,770751,0
47,103595,470,97056,0
32,64478,475,535677,0
44,154253,630,849751,0
37,23014,463,845493,0
36,79717,795,178578,1
23,47581,788,248769,1
40,106262,677,25184,1
34,144802,382,983328,0
27,183229,712,563365,1
36,108728,363,577922,0
51,87357,441,93523,0
34,110081,331,270465,0
51,160593,649,898756,0
58,39950,352,571911,0
46,123083,783,872995,1
38,189438,505,453970,0
43,54869,346,364909,0
34,33471,804,575274,1
22,196737,763,827701,1
37,191745,832,125142,1
33,16033,562,284171,0
34,138837,761,360018,1
24,49632,522,826614,0
37,83215,527,265395,0
35,196551,513,525618,0
51,29257,835,243271,0
26,155132,767,500430,1
28,102273,595,539049,0
24,40885,500,41247,0
33,76977,711,813357,1
55,130551,682,638940,1
27,41690,344,44221,0
51,163381,498,20401,0
57,99653,412,306118,0
51,167451,426,390886,0
56,178723,684,257590,1
31,52833,708,70754,1
55,68418,662,499041,1
45,147600,303,527382,0
27,85711,826,101864,1
32,91000,492,921894,0
44,113216,356,580394,0
52,137721,473,528486,0
35,129485,643,926812,0
28,66260,416,41637,0
56,30877,311,11007,0
27,147065,722,717821,1
45,55935,679,540792,1
48,21921,374,876617,0
35,71195,614,314766,0
34,12600,394,289538,0
51,160081,667,94193,1
35,178287,390,25009,0
24,179571,596,372041,0
51,65426,744,503054,1
57,127758,423,698989,0
31,180533,790,765655,1
37,21725,482,659099,0
43,64913,445,722516,0
50,165560,417,302124,0
59,42099,531,784032,0
24,152569,840,574087,1
21,96882,587,436086,0
43,136123,745,55483,1
58,54940,578,741290,0
32,76920,320,171353,0
55,122878,795,680971,1
55,87347,615,867859,0
53,173591,368,240052,0
62,40694,693,315405,1
48,71370,692,745446,1
50,180697,553,70310,0
33,86060,768,227605,1
58,125900,513,750835,0
27,40700,527,398053,0
26,115047,696,200003,1
33,105214,398,890348,0
27,108237,642,58543,0
42,54760,830,982032,1
55,197392,766,326865,1
38,145877,845,956960,1
33,58890,465,110887,0
26,59852,527,546602,0
45,182400,777,129179,1
44,19080,600,235555,0
54,66709,734,432614,1
41,175939,364,752503,0
25,31157,731,497546,1
57,53132,818,23673,1
58,159635,805,200865,1
60,185093,476,352640,0
35,108851,329,991148,0
54,184132,747,125629,1
58,115979,424,104825,0
31,132921,716,119352,1
47,58373,732,119983,1
60,96265,713,650856,1
26,140070,348,686831,0
32,115492,541,734504,0
31,33842,628,934592,0
25,62696,769,823711,1
21,51158,607,172336,0
62,101598,385,310139,0
58,108702,391,806569,0
57,45608,642,729148,0
48,39789,306,910572,0
64,13591,307,214042,0
28,35354,393,880847,0
41,135381,553,49579,0
63,150096,758,916303,1
29,107445,724,880834,1
61,100124,793,213533,1
31,101129,552,395205,0
46,148566,707,94930,1
60,111421,613,486239,0
49,159845,391,840033,0
43,168194,629,585189,0
56,79915,353,671366,0
36,49671,523,828440,0
54,35909,655,777635,1
63,10177,459,625809,0
46,83810,640,703030,0
35,169309,645,675171,0
43,180758,482,676998,0
61,73941,386,167547,0
27,93484,426,691801,0
56,193444,396,837206,0
25,192562,541,160280,0
52,90524,671,191125,1
43,181520,574,853411,0
42,199159,525,935884,0
49,127385,329,712442,0
45,66761,310,967454,0
24,97237,763,53789,1
21,140523,385,556166,0
32,170868,369,20947,0
24,56154,451,797354,0
39,122726,609,927022,0
43,179735,697,746424,1
53,100279,663,83184,1
45,74020,556,892148,0
36,84389,731,753874,1
52,112080,572,498744,0
59,130771,333,614491,0
41,11396,316,792447,0
64,193637,507,486086,0
48,13689,448,551201,0
52,122219,385,9751,0
26,142891,564,519736,0
56,13483,672,210004,0
56,194750,340,31563,0
41,42897,554,355605,0
65,70070,679,844253,1
62,173833,746,734512,1
46,183070,385,397224,0
62,62191,491,645896,0
62,51532,838,330158,1
63,25269,730,264744,0
50,183925,505,405074,0
28,57605,756,437390,1
31,100115,553,230869,0
21,108158,802,620783,1
41,131579,596,513835,0
52,115319,364,17155,0
27,164042,845,835473,1
63,173355,368,132773,0
31,154019,635,617608,0
23,76047,740,475371,1
52,95679,380,366010,0
31,102344,846,587950,1
36,25332,814,520699,0
63,107963,678,280086,1
24,22803,756,345901,0
26,158056,487,974584,0
23,142236,699,663616,1
42,182969,585,513290,0
25,178612,805,128690,1
51,155458,480,916974,0
22,158465,602,536711,0
64,37429,449,197903,0
35,158247,462,989204,0
65,74253,466,218067,0
22,25364,434,915786,0
38,186732,847,621317,1
44,25127,843,750418,0
30,71009,448,57966,0
64,190098,335,528419,0
25,91056,442,717338,0
29,49010,483,319900,0
34,81488,643,980029,0
36,165218,574,844673,0
54,110482,439,942527,0
26,144783,440,672046,0
46,192800,304,320741,0
47,121929,808,767819,1
59,153696,303,9424,0
52,105082,625,97517,0
22,148060,533,360498,0
46,154990,638,846181,0
49,22059,699,438973,0
52,23296,832,864344,0
40,132736,360,239349,0
28,98423,569,934952,0
39,82833,660,321899,1
65,154898,824,312363,1
22,124810,357,819657,0
65,145990,708,311643,1
53,65730,303,786670,0
59,18163,834,47119,0
32,140763,688,693644,1
25,193784,600,414123,0
60,91711,529,621601,0
44,55947,667,574156,1
44,62818,792,222590,1
50,45426,454,605371,0
31,184025,474,494157,0
61,74984,807,990025,1
58,41069,535,372133,0
44,174676,454,766936,0
53,180789,361,848834,0
34,158990,339,515160,0
47,33721,698,275007,1
52,133384,435,307134,0
55,178723,589,303474,0
22,37352,309,649695,0
59,69372,712,877902,1
31,156244,424,894538,0
44,150775,614,717384,0
51,43609,556,225501,0
27,135483,702,233399,1
42,142903,544,23805,0
43,21124,490,930967,0
60,12938,581,973518,0
35,164380,675,286868,1
61,183919,514,928568,0
41,23846,500,586923,0
45,29383,413,597019,0
32,91710,770,678823,1
50,111831,848,696682,1
62,125252,505,308177,0
41,129602,703,373625,1
42,180899,770,7535,1
22,153838,419,447964,0
41,46216,577,616820,0
61,42166,808,876820,1
28,148380,607,347938,0
31,100959,507,193466,0
51,20476,481,243964,0
50,190843,534,261105,0
63,93598,806,591725,1
62,49977,491,294845,0
31,108782,695,984279,1
64,137504,701,399369,1
22,190476,427,145059,0
27,19299,426,237180,0
65,114826,668,177980,1
27,77638,584,86428,0
50,122585,481,163205,0
25,100938,640,919399,0
55,99818,640,784094,0
62,148205,561,192919,0
41,65651,402,24067,0
64,164666,336,83225,0
36,109355,459,437432,0
32,188405,755,760238,1
48,137092,778,26032,1
48,185926,822,731916,1
35,78098,466,789402,0
62,168456,557,106336,0
33,178382,712,491171,1
36,175610,544,612439,0
48,29019,624,250312,0
61,173576,437,276425,0
45,158604,798,708601,1
55,19747,582,853366,0
37,192946,462,299268,0
49,41815,838,687711,1
30,193626,588,961522,0
61,106513,353,760411,0
29,199315,495,122979,0
60,132714,426,35973,0
47,83694,585,385634,0
34,118621,796,194810,1
24,106777,627,415415,0
64,106306,524,114372,0
47,117492,333,298833,0
34,82584,353,669295,0
62,150463,671,66263,1
29,195212,671,613661,1
38,79359,609,201089,0
55,51419,814,967761,1
50,10359,532,518623,0
32,163312,457,447664,0
61,22180,770,900194,0
27,126059,364,50665,0
21,115737,378,182768,0
63,92944,699,418800,1
22,60590,648,55456,0
58,10230,549,923904,0
33,84295,559,388453,0
50,122270,404,31040,0
51,59597,590,897391,0
44,136279,600,759659,0
33,158767,480,436184,0
53,128877,731,670838,1
57,134379,595,954765,0
43,10151,389,788146,0
45,106308,493,698955,0
62,16285,461,689854,0
33,39001,841,474389,1
60,72048,683,381743,1
27,37976,639,572070,0
38,193367,704,379182,1
33,34808,604,951450,0
35,13499,363,692875,0
35,65696,783,783049,1
40,97653,487,151738,0
27,121610,396,618950,0
39,82147,644,626804,0
26,87772,324,272937,0
52,50906,502,463938,0
31,127471,504,740182,0
64,24561,784,285300,0
43,11277,392,97361,0
64,176481,579,195641,0
62,23266,354,692381,0
46,121340,480,756473,0
34,186590,477,282746,0
35,188863,400,337680,0
34,62275,611,235801,0
48,148422,582,132356,0
47,159641,490,388087,0
57,78318,526,704630,0
45,27356,489,515840,0
56,87867,569,121093,0
43,183700,669,62960,1
38,76068,418,243723,0
59,38733,729,636301,1
44,176492,839,629194,1
51,125716,526,6465,0
52,36580,620,736478,0
35,95224,557,747629,0
27,126593,800,68219,1
42,104392,470,727208,0
32,18093,703,429327,0
31,77434,422,333372,0
47,56456,515,393327,0
32,49730,498,846513,0
61,60406,407,685207,0
33,171213,698,602410,1
60,154333,719,644735,1
43,170385,582,487159,0
60,120337,684,394248,1
23,94423,600,247449,0
47,34841,419,563193,0
57,141455,576,654410,0
53,184424,401,9462,0
45,115719,815,974845,1
27,48340,584,26643,0
33,42081,719,610011,1
29,136588,738,79827,1
64,32278,331,664906,0
59,116346,605,600386,0
63,25194,377,230324,0
63,139961,341,631308,0
47,162364,846,347808,1
40,89651,810,908643,1
62,172267,472,944906,0
21,136173,443,688639,0
42,39537,421,522392,0
40,154248,723,904915,1
52,93510,641,857810,0
52,109544,833,239287,1
24,198681,698,736094,1
26,187501,619,20143,0
46,153353,395,544430,0
45,80148,513,632407,0
38,192338,677,971183,1
21,182332,320,255938,0
54,190029,416,686663,0
41,142575,847,931440,1
63,80531,421,659053,0
57,125204,447,562441,0
53,108855,655,85905,1
32,29285,610,422980,0
49,29765,703,126394,0
40,174779,591,601777,0
54,92804,688,589035,1
35,31952,650,45049,0
55,109825,594,955529,0
37,93390,313,446384,0
42,120796,781,343648,1
65,76957,504,298150,0
23,130053,474,13269,0
47,197591,751,369630,1
21,26377,492,349116,0
34,173541,449,497915,0
36,133658,312,321170,0
38,60219,305,803256,0
43,195691,418,213268,0
60,52683,438,392840,0
54,109635,669,233227,1
64,113474,535,833373,0
63,188321,723,6219,1
30,140598,407,937121,0
47,173948,648,226576,0
43,26528,327,60839,0
41,49735,849,239158,1
27,194313,486,128672,0
32,177956,813,262011,1
34,41149,768,12675,1
55,164736,530,49358,0
56,88962,626,896002,0
25,107083,431,970253,0
23,182083,738,960114,1
55,110043,612,619514,0
51,27798,474,242025,0
42,18514,527,520371,0
49,198235,471,700228,0
25,158910,609,601976,0
28,43649,625,114151,0
54,131935,700,330110,1
41,191712,520,293604,0
58,115135,474,661832,0
59,22678,448,930367,0
40,11262,802,540591,0
34,170343,824,989783,1
39,101552,604,620398,0
37,39678,350,658973,0
49,33687,653,770275,1
37,124218,699,717604,1
56,17433,630,143878,0
23,117626,407,473105,0
33,62974,555,306201,0
51,181584,770,978560,1
28,143132,817,210810,1
32,60665,392,268965,0
45,115000,370,824296,0
32,182889,311,857470,0
22,168310,361,778064,0
30,104568,378,836648,0
23,194774,582,255729,0
51,190671,537,539123,0
34,127801,455,780249,0
59,108816,604,337708,0
35,156944,548,422969,0
56,100406,421,845082,0
60,192000,597,758396,0
25,131981,703,153426,1
22,107537,453,60661,0
57,152256,428,789530,0
45,67336,592,176395,0
22,55344,312,805518,0
37,192656,580,135989,0
54,76777,424,837339,0
47,132433,654,247222,1
25,166066,817,821167,1
23,119248,505,773963,0
43,17493,441,321342,0
40,174155,808,346192,1
37,142388,828,413105,1
31,14297,470,849231,0
21,43502,731,356507,1
52,182028,810,681282,1
32,38979,658,224890,1
53,102380,691,981669,1
44,146796,432,128191,0
44,91536,571,481946,0
37,70804,683,19137,1
46,64371,480,868910,0
56,23413,526,490070,0
50,167154,692,609795,1
21,47195,338,729390,0
26,67097,472,508354,0
59,56848,355,56138,0
43,190266,422,993760,0
65,132349,700,786301,1
30,88795,830,396745,1
44,11716,449,34144,0
21,121873,650,726290,0
52,106220,458,237612,0
49,123407,551,194036,0
35,94843,344,453455,0
47,91605,535,958507,0
42,146756,570,721405,0
32,166482,828,136122,1
56,50602,363,608458,0
56,118677,512,712221,0
42,119618,734,48293,1
60,56784,694,238074,1
40,143614,450,268982,0
45,151208,356,856470,0
61,136219,547,861780,0
62,175889,554,809380,0
38,68551,590,881056,0
32,20908,755,882013,0
22,112960,569,563890,0
57,121282,495,717126,0
65,73704,789,240311,1
51,49015,680,545280,1
37,66839,707,561652,1
65,156864,745,551541,1
33,72884,717,863309,1
44,104151,706,750788,1
23,133386,814,244646,1
50,144369,439,596323,0
21,80700,439,951300,0
52,175484,625,807661,0
26,163939,536,160034,0
34,28743,598,352919,0
50,103004,639,694368,0
38,68902,685,303689,1
35,168441,475,626782,0
42,110990,332,887225,0
32,197814,827,944156,1
45,103353,311,970405,0
25,10663,820,306452,0
53,122617,500,392542,0
34,21985,624,570179,0
59,22779,629,632418,0
56,62733,625,480458,0
60,195563,590,847073,0
57,160116,687,386875,1
42,84708,645,339095,0
54,30957,312,75713,0
42,51065,409,863920,0
49,23941,321,760183,0
39,168037,740,113340,1
49,32361,772,760193,1
58,157051,639,424948,0
32,197493,577,149000,0
60,32949,407,26883,0
53,30290,639,859718,0
51,89244,655,745487,1
55,197425,573,228251,0
39,130620,319,429555,0
50,39939,688,950815,1
57,181061,606,165612,0
63,45110,846,9840,1
60,174218,328,217889,0
47,14147,692,140428,0
21,168481,518,125385,0
43,62492,817,160704,1
46,96048,685,625590,1
49,61931,727,105441,1
22,138547,717,539210,1
48,173401,772,288912,1
32,12738,402,737297,0
51,52741,461,900577,0
32,170346,549,67697,0
31,62592,688,668208,1
52,141959,710,391775,1
52,31645,484,775593,0
60,70161,470,468211,0
52,20948,594,338000,0
43,31613,709,210469,1
54,100352,538,97808,0
54,63853,837,693784,1
29,77802,715,225961,1
34,76793,646,526974,0
53,17999,346,267213,0
25,138930,623,595403,0
61,25388,336,586846,0
32,172844,565,612170,0
32,139275,492,562758,0
39,87952,747,887608,1
42,156496,744,414212,1
45,87907,315,688983,0
23,199603,521,951201,0
63,23366,609,104297,0
31,45749,393,561910,0
46,158405,434,744443,0
50,66592,629,682768,0
22,86729,397,31356,0
50,198709,550,176591,0
24,148929,847,708421,1
59,194113,745,783020,1
37,29056,449,636455,0
59,137952,549,181943,0
62,59117,788,580854,1
30,70521,804,963789,1
40,15977,791,55455,0
51,190478,596,356588,0
50,24255,498,600305,0
54,17056,717,262047,0
63,76911,842,339220,1
56,66855,372,414209,0
37,197882,418,697202,0
60,150195,776,325684,1
63,145822,691,515903,1
38,53128,775,807216,1
28,26121,562,255314,0
45,178788,585,684096,0
65,93930,803,87324,1
25,48386,411,824842,0
53,167274,562,977587,0
30,36957,598,502334,0
22,49065,636,966019,0
52,108595,652,333895,1
61,66992,567,992723,0
57,132750,379,133501,0
48,75276,598,643036,0
55,185500,571,447784,0
41,26104,510,746395,0
39,163917,714,772901,1
36,199221,605,470277,0
39,125834,519,510022,0
48,199337,602,193394,0
56,174751,788,956707,1
51,17412,331,430664,0
55,78461,659,461669,1
60,98421,661,702829,1
21,76252,492,215202,0
32,53003,532,614982,0
54,122675,534,771937,0
65,136047,609,993378,0
29,147336,361,517413,0
60,131912,624,670681,0
62,109412,302,162748,0
34,73711,806,71357,1
29,79774,559,959898,0
22,65089,645,992372,0
31,180213,847,602802,1
27,109243,504,503856,0
60,136043,446,928684,0
39,171102,552,785521,0
40,167182,737,103294,1
39,47252,839,470480,1
26,152136,837,995705,1
48,95680,708,382467,1
22,87547,740,400656,1
57,51245,356,849531,0
43,90140,518,174607,0
34,189955,342,401087,0
26,199962,591,588667,0
38,185164,387,857467,0
60,189840,320,486452,0
42,61467,515,826245,0
64,108218,549,786021,0
55,133481,579,368311,0
56,116964,620,755575,0
53,198430,833,457734,1
43,67124,357,536444,0
42,124911,621,633647,0
30,72520,782,610859,1
51,137305,673,400815,1
49,60434,400,507604,0
35,195033,682,813109,1
28,23786,464,190514,0
55,110474,590,906830,0
26,182432,554,418313,0
25,62217,743,706014,1
59,149215,574,179454,0
35,107770,495,907270,0
59,126236,647,496143,0
34,198228,807,890017,1
55,120960,699,719946,1
45,151207,391,219060,0
27,113486,326,377772,0
43,96484,365,822922,0
23,77123,526,929267,0
34,129398,735,573819,1
51,124595,682,123654,1
60,179064,411,415740,0
36,65636,581,818058,0
51,72926,543,146255,0
35,175380,494,45481,0
43,17214,743,157464,0
25,34662,706,299489,1
65,177327,696,916082,1
53,176152,560,182831,0
37,146541,330,28792,0
34,190757,626,532794,0
27,71693,371,586619,0
61,183969,836,13186,1
47,112451,839,980226,1
65,125505,448,46773,0
46,21580,449,124760,0
59,75993,444,97560,0
28,21756,731,146243,0
51,40954,729,362864,1
57,23589,820,196507,0
36,146807,662,713672,1
59,27775,442,653212,0
44,147302,622,519309,0
44,174828,837,77665,1
38,67315,307,816478,0
37,33399,499,823773,0
40,86839,439,311382,0
39,127548,536,734623,0
39,117602,800,749457,1
60,160864,403,189517,0
23,141105,663,42420,1
50,24980,636,95980,0
45,53589,422,703533,0
39,25691,462,237388,0
59,17069,435,561477,0
23,97901,678,959853,1
24,183863,386,104174,0
50,66953,359,706147,0
61,131345,642,855429,0
61,191352,610,706337,0
52,147693,332,677337,0
47,36125,386,715909,0
63,13142,505,762165,0
39,118929,573,780041,0
35,59294,567,324163,0
57,74076,779,874754,1
44,56554,544,651026,0
64,193334,317,243394,0
32,89125,417,967375,0
51,85458,682,158725,1
35,43292,688,412300,1
60,54881,840,797561,1
49,183523,685,249894,1
37,131430,319,61325,0
53,110045,754,958161,1
64,137245,806,215823,1
65,21156,596,84398,0
61,177881,682,875918,1
28,167249,795,603976,1
55,44498,326,350430,0
50,132845,755,604279,1
28,119082,806,712087,1
43,124672,485,11923,0
27,29713,650,540492,0
40,59211,451,241192,0
33,25220,357,234679,0
46,193535,364,190145,0
63,180631,473,649212,0
22,166580,360,825210,0
46,70720,465,757073,0
28,94348,654,74078,1
33,49636,797,329234,1
61,191101,843,805183,1
31,25584,634,906658,0
55,68571,766,363665,1
36,197636,435,460555,0
47,141196,502,910474,0
27,92654,324,407125,0
63,190602,635,722302,0
63,154627,551,527984,0
37,138334,524,222530,0
47,27290,594,25013,0
47,69129,720,204830,1
46,146435,657,520162,1
30,120704,480,239711,0
29,161397,616,336356,0
35,118593,528,805241,0
35,159282,378,556686,0
36,124309,644,390045,0
59,154682,401,449603,0
64,62628,777,564003,1
31,19298,749,723096,0
42,124064,819,955386,1
55,85537,479,451480,0
54,12343,454,749454,0
41,34254,730,998624,1
39,31892,544,67639,0
40,177027,359,126017,0
31,22239,435,688549,0
23,144162,540,880108,0
53,110676,615,161114,0
33,11880,403,867525,0
24,21996,472,206626,0
24,104398,491,611360,0
27,21662,455,510744,0
42,190909,775,861163,1
34,80692,494,993513,0
60,83481,474,840395,0
53,192133,346,979557,0
61,133955,397,917292,0
45,65464,760,920053,1
51,138698,728,417409,1
45,16767,630,983567,0
48,146920,435,536794,0
41,183545,654,39200,1
31,96498,382,495451,0
36,157796,794,614079,1
65,171974,746,677778,1
63,151532,442,460651,0
33,13656,782,853534,0
60,199214,729,42808,1
35,71018,712,521065,1
60,132307,715,189116,1
61,49013,424,223530,0
46,49733,824,551530,1
51,25315,764,234540,0
28,113827,688,75097,1
46,104316,797,5845,1
47,173960,616,936907,0
33,96794,560,933955,0
49,113847,701,216971,1
63,144339,810,838998,1
36,97989,494,46462,0
32,32126,801,782633,1
62,135839,678,68514,1
62,67941,637,238008,0
43,66277,403,943569,0
25,63928,630,167551,0
54,26811,508,447837,0
39,177944,659,12646,1
27,103454,627,636831,0
23,196021,473,870831,0
25,116372,506,274092,0
51,93393,579,994844,0
58,144672,574,680793,0
29,24093,734,466977,0
42,16557,317,785117,0
27,94012,388,93775,0
21,20036,492,503357,0
61,100610,351,842270,0
57,64179,612,213249,0
50,29164,838,266878,0
49,154434,447,497785,0
62,187192,700,615895,1
43,153874,797,335955,1
31,133736,474,362294,0
44,93377,309,728132,0
55,136045,480,876514,0
49,187237,829,781294,1
44,113609,440,914908,0
34,92286,590,826014,0
35,145663,429,86424,0
60,146193,561,834045,0
46,61193,413,270133,0
61,33315,506,229476,0
33,47981,716,181593,1
38,24574,343,735131,0
28,140276,400,39254,0
34,97899,634,155909,0
55,14996,374,924664,0
29,106077,464,409301,0
46,180504,810,906806,1
28,128493,562,182021,0
34,194355,687,54191,1
47,121678,584,189150,0
38,74452,591,852401,0
55,24713,503,376627,0
51,120535,531,77089,0
34,44862,729,287491,1
60,49382,482,229821,0
49,28064,749,364594,0
37,167324,384,97611,0
57,198255,823,865633,1
62,175815,375,578743,0
50,158741,469,359110,0
51,164543,302,486953,0
29,113410,503,148271,0
55,142436,433,525954,0
34,71394,468,527341,0
45,43510,496,991556,0
62,82519,464,904399,0
57,180442,557,915817,0
51,30924,390,378805,0
32,153428,647,533481,0
35,135949,760,501365,1
48,33538,535,426467,0
22,71604,686,186382,1
63,61929,734,303936,1
46,78301,611,879426,0
34,158768,637,271383,0
53,29607,611,534876,0
58,165382,694,46565,1
31,67980,760,802500,1
58,26232,343,445370,0
31,103431,377,546798,0
44,49996,513,376053,0
24,144749,310,755101,0
56,81906,552,769310,0
60,126007,727,487815,1
29,81770,384,655400,0
47,45739,774,220211,1
36,126083,692,948954,1
59,189494,773,698889,1
44,63251,381,69064,0
38,104585,710,25385,1
31,138738,640,627898,0
65,58892,525,433545,0
38,84190,523,490719,0
48,104836,788,946354,1
46,146762,581,686693,0
42,193795,699,478114,1
54,175184,360,819961,0
26,90979,796,946035,1
22,19200,723,146760,0
23,69863,612,357154,0
51,99175,643,956541,0
51,92648,694,611124,1
47,199045,798,519043,1
64,93034,780,285793,1
56,188341,520,405099,0
33,10054,516,701891,0
55,65826,518,214541,0
41,176715,668,694580,1
59,141695,519,826954,0
21,107393,562,145248,0
47,197944,625,880156,0
51,123899,421,387042,0
38,65065,681,639751,1
48,86500,376,351189,0
59,75507,807,282554,1
58,187094,770,514588,1
21,75160,528,474091,0
54,88186,401,165043,0
22,63293,440,629990,0
34,179471,534,494114,0
22,184106,484,401558,0
30,173925,453,106746,0
36,183394,722,833904,1
39,57945,479,517227,0
23,56830,720,774038,1
47,157612,335,906032,0
49,172051,360,13949,0
47,56140,462,982670,0
52,104396,338,208186,0
63,50439,442,800227,0
63,77202,484,848660,0
64,187831,322,708228,0
56,91432,528,122014,0
63,43674,462,676122,0
42,91765,617,673431,0
64,15630,469,231824,0
60,101470,489,925137,0
26,92394,727,76442,1
60,12190,720,765022,0
58,191629,395,143372,0
60,145394,452,689309,0
25,111594,682,968041,1
47,76439,656,491531,1
25,61491,821,332406,1
55,107622,312,910865,0
40,40629,682,727167,1
30,55525,673,670566,1
38,53788,800,132840,1
43,134161,449,674772,0
21,86441,558,454733,0
63,88716,782,517852,1
21,126742,452,987032,0
44,159306,326,251962,0
49,119831,387,751672,0
53,128446,791,674067,1
22,46836,307,158990,0
29,59398,715,309150,1
21,16985,306,923940,0
63,21549,816,215477,0
55,72144,353,6583,0
22,121485,731,768903,1
45,153856,613,900026,0
46,10189,332,11156,0
30,122766,354,106394,0
37,22087,486,726932,0
31,152692,617,805426,0
27,28863,715,448162,0
27,61133,359,101605,0
30,150983,461,933494,0
65,24699,721,309184,0
49,152948,324,147526,0
41,91776,577,300382,0
30,18604,748,888367,0
30,196104,469,501822,0
54,46204,551,233583,0
64,21767,536,298604,0
65,113476,474,738572,0
27,140584,365,114994,0
40,157984,392,99672,0
65,101678,531,709358,0
54,41513,401,641307,0
38,165919,317,668028,0
54,62308,652,598366,1
55,152250,666,303135,1
55,15977,823,501214,0
32,73765,564,636188,0
49,76981,565,540662,0
46,92393,777,119296,1
39,185022,463,965943,0
58,13124,367,967967,0
44,62006,361,442528,0
46,21265,339,30045,0
24,98750,358,75679,0
44,105361,748,464335,1
45,66989,691,507160,1
38,100045,358,857396,0
50,91722,718,695096,1
40,43600,424,738561,0
32,170315,570,33250,0
64,46205,454,793701,0
60,177602,706,725833,1
48,96149,824,87276,1
46,98001,788,325045,1
42,160240,664,727749,1
28,32173,533,568038,0
30,19425,571,962587,0
25,185729,350,136103,0
61,154449,566,850530,0
32,66461,471,806473,0
62,143996,543,753722,0
52,51172,515,358723,0
52,153977,597,875255,0
51,192650,442,462140,0
60,165836,381,427172,0
33,41607,796,102923,1
27,39629,839,219613,1
56,32235,733,276195,1
39,35154,602,181994,0
37,168609,820,952091,1
43,99997,843,985923,1
53,79448,454,76234,0
62,133170,321,375921,0
62,60477,782,828954,1
44,192327,732,764628,1
27,61091,803,890176,1
38,117295,421,873381,0
49,117552,466,837710,0
29,51780,603,700826,0
48,152142,443,617733,0
47,105426,826,20378,1
42,170920,522,734281,0
65,142710,778,424519,1
26,75724,475,700711,0
37,115267,824,148933,1
36,73711,510,977694,0
33,90844,828,583359,1
30,109316,726,532417,1
47,150641,622,340323,0
62,177899,381,161188,0
49,40027,794,872272,1
22,58897,615,915843,0
65,156759,524,127222,0
53,102989,506,684921,0
46,163369,309,997912,0
44,98181,412,582485,0
41,45469,641,311642,0
44,99782,599,929567,0
33,128038,850,310424,1
29,137444,713,599971,1
28,190477,526,311808,0
27,172181,570,952648,0
42,115874,602,716140,0
52,195945,586,676250,0
28,48839,779,338338,1
41,161836,400,420915,0
52,70953,349,230582,0
27,106582,818,864862,1
64,181295,504,406053,0
37,35685,630,651498,0
24,72766,364,308269,0
28,51053,545,81985,0
33,135426,751,994192,1
46,44552,328,284810,0
57,27540,468,992568,0
52,57640,584,503134,0
27,60989,828,369870,1
24,124434,661,382844,1
29,134504,839,667893,1
62,105044,431,74436,0
44,45455,394,949070,0
46,53279,810,535574,1
37,148935,680,444190,1
58,35382,771,910118,1
38,159730,346,883568,0
28,33397,704,978920,1
32,194631,418,986882,0
59,57389,807,9102,1
38,43391,446,441386,0
36,146934,484,387307,0
41,113606,566,731410,0
24,172753,705,968675,1
54,57934,376,700190,0
57,138797,310,380398,0
26,49286,617,181427,0
31,172494,319,901382,0
54,85138,548,554096,0
35,58112,843,953499,1
22,42744,500,865576,0
40,193664,849,523099,1
38,16269,490,330154,0
21,175921,442,638072,0
31,40392,408,504601,0
26,47428,341,958740,0
25,124281,598,441474,0
38,91327,578,835973,0
34,69624,657,618595,1
45,160104,508,364365,0
35,133291,475,25692,0
45,169802,800,792670,1
63,103396,767,783042,1
62,155910,410,855840,0
42,170395,486,329317,0
62,161790,849,483293,1
37,13292,471,657041,0
24,181566,717,77809,1
52,146417,609,236999,0
50,68365,632,466273,0
43,98621,426,52191,0
51,118435,316,280438,0
28,60919,592,708375,0
65,69025,837,688359,1
59,71308,781,144805,1
40,79134,734,342022,1
