StudyHours,SleepHours,Attendance(%),Age,ExamScore
3.27,4.67,81,20,59.27
2.15,4.51,80,20,50.21
0.0,5.66,90,18,52.38
3.94,7.29,51,23,51.69
5.54,9.12,91,22,88.01
3.56,4.68,75,24,61.24
1.31,7.54,71,16,53.35
3.09,4.22,97,18,60.38
0.27,5.64,89,20,46.78
5.12,7.75,75,18,67.75
3.16,5.47,81,24,56.08
0.0,9.32,58,23,47.69
2.4,8.13,57,16,54.71
3.93,7.74,61,19,66.73
2.33,6.16,77,21,57.12
2.45,5.7,100,24,61.95
0.55,6.31,63,19,42.61
4.13,7.37,67,23,60.84
1.7,7.37,93,19,61.87
0.0,5.77,73,18,43.14
2.26,5.91,62,18,45.78
4.96,4.68,64,24,60.82
2.23,10.0,54,24,50.52
6.48,5.65,91,16,85.29
3.86,4.47,81,15,59.63
3.68,4.0,94,23,64.71
2.74,5.99,56,20,49.29
2.86,7.61,93,24,56.44
2.47,6.84,75,16,59.36
2.4,6.72,72,15,55.0
4.06,8.09,93,24,74.72
1.13,7.88,76,22,56.18
0.85,5.65,53,21,32.52
0.75,7.39,59,20,45.04
7.09,7.1,78,20,79.59
4.06,6.11,52,24,59.21
3.61,9.14,62,16,53.27
0.88,5.83,64,16,41.81
4.25,6.13,92,19,79.43
2.77,6.29,56,16,51.92
3.43,8.39,92,17,73.2
1.05,8.63,97,17,70.37
3.32,9.03,53,19,52.31
2.15,8.16,93,23,58.74
1.47,6.85,51,16,43.29
4.47,8.44,86,21,69.69
0.0,7.56,90,17,46.32
4.13,6.81,69,15,69.54
4.37,6.3,69,22,58.65
1.24,6.74,53,19,39.51
1.36,6.28,62,17,41.25
2.55,7.62,57,23,46.34
3.56,6.68,66,23,54.7
2.69,7.73,95,15,62.01
3.87,7.76,58,16,61.63
6.53,7.01,69,23,83.24
1.98,6.32,86,22,51.8
0.0,5.64,57,24,28.76
4.65,6.84,72,17,64.94
6.37,7.44,55,18,72.03
3.79,4.95,58,22,50.07
0.82,4.33,74,21,40.27
2.75,6.82,50,15,57.0
0.76,5.66,91,21,49.16
4.29,8.51,88,23,71.89
0.3,8.96,65,21,42.83
2.4,5.48,60,19,41.31
0.99,4.45,79,22,46.04
3.25,7.86,95,17,73.82
2.27,7.31,66,17,59.42
3.35,7.59,84,17,71.14
3.04,8.15,93,16,73.41
1.03,6.37,54,24,47.86
4.25,6.7,52,21,58.9
2.9,8.22,91,23,73.85
1.02,7.67,79,24,54.68
7.48,10.0,81,22,93.33
3.95,7.44,58,17,57.94
2.69,7.38,84,17,60.8
5.83,8.32,51,20,65.15
6.68,10.0,52,22,78.01
2.71,8.07,72,20,59.41
3.69,6.57,82,19,58.03
1.02,6.01,93,20,57.72
2.71,7.24,77,15,61.92
2.6,5.35,79,24,54.24
3.37,7.97,62,21,63.4
3.67,7.45,77,19,60.67
4.12,7.78,63,17,55.5
3.48,4.33,54,19,42.32
0.58,9.02,96,15,62.0
1.12,5.32,77,20,41.2
1.91,5.11,68,21,49.9
2.44,4.0,62,18,47.5
5.1,6.09,87,17,68.89
0.67,7.23,63,24,39.98
2.29,6.85,69,16,50.62
4.91,8.04,95,19,84.85
2.4,8.91,86,23,55.15
3.92,9.04,93,22,73.73
2.72,6.62,64,23,53.53
3.51,6.78,68,21,49.51
2.54,6.79,92,24,62.8
4.33,6.38,62,17,65.9
0.0,10.0,94,18,59.54
2.27,7.47,67,23,47.62
3.59,7.76,81,23,64.84
4.07,8.02,56,16,57.15
5.99,8.82,83,16,79.94
2.22,6.66,90,18,56.01
5.96,7.77,62,24,71.99
1.68,7.88,91,15,68.76
5.66,4.66,71,20,75.08
4.63,6.27,83,21,63.12
1.17,6.75,100,23,70.9
3.61,8.48,86,17,62.78
2.9,10.0,71,18,64.49
4.25,6.34,89,15,64.39
2.55,6.28,77,21,60.46
2.39,7.66,68,23,51.03
5.74,4.41,88,24,78.1
2.8,4.32,88,19,51.65
4.65,6.79,70,22,66.34
2.55,6.19,93,20,73.62
6.33,8.68,87,17,80.79
1.64,6.44,58,23,38.42
1.77,5.04,76,19,46.87
6.05,5.47,74,22,72.88
2.11,8.78,63,21,68.9
6.2,5.91,72,18,74.69
4.78,6.48,71,19,63.34
2.69,6.55,79,17,53.72
0.0,6.13,64,15,42.2
2.96,7.46,86,18,58.21
3.2,9.66,87,19,66.05
5.33,7.83,70,15,73.22
6.18,8.23,95,24,87.98
1.63,5.55,51,17,37.95
4.6,7.56,85,17,74.33
4.53,9.05,61,18,60.84
5.15,6.65,83,23,74.03
4.0,6.99,58,24,50.77
0.0,8.15,72,24,44.4
2.69,9.29,72,15,54.12
0.69,8.78,68,23,47.05
2.59,5.1,53,19,43.38
4.96,7.5,59,20,57.81
3.61,6.09,66,20,63.98
5.3,6.52,73,16,69.51
3.68,5.04,80,18,64.23
0.4,6.6,62,17,40.0
0.0,5.72,88,23,58.35
3.3,6.76,51,15,49.75
2.57,7.74,66,15,56.97
1.05,7.42,65,16,50.39
0.0,8.33,51,15,26.65
1.53,6.27,61,22,45.86
2.61,4.47,55,24,41.43
4.33,9.4,50,23,57.1
3.38,7.82,62,20,69.42
6.22,7.89,53,15,67.88
0.93,7.81,60,24,40.8
4.76,7.39,78,18,74.62
3.09,8.49,65,18,64.58
4.39,6.02,54,16,56.93
2.13,8.18,81,17,52.39
5.14,7.53,88,17,77.79
3.59,7.2,91,20,72.51
1.64,6.26,53,17,40.92
2.98,7.38,90,23,61.72
2.52,6.69,87,19,60.67
3.98,8.28,77,16,72.32
0.64,6.31,51,21,41.97
2.94,5.45,85,16,65.32
3.79,7.85,72,23,68.31
3.07,10.0,85,23,67.69
5.69,7.38,76,19,75.34
4.55,6.78,61,15,60.32
2.99,9.68,62,15,65.51
3.43,7.69,82,21,65.43
3.59,6.78,58,21,59.36
3.81,9.57,83,20,69.9
0.0,5.89,79,19,45.96
2.4,6.5,64,24,58.2
0.03,7.51,81,22,52.51
5.56,10.0,53,20,64.77
2.88,5.61,70,20,50.53
2.61,5.3,70,23,46.3
4.79,7.34,89,20,79.64
3.84,9.23,65,21,56.59
0.74,8.36,76,22,54.6
2.86,5.99,79,16,59.84
2.33,5.28,84,19,52.31
0.0,6.02,73,16,41.15
1.62,7.16,88,24,59.33
2.63,7.47,85,22,61.3
2.77,6.64,81,19,67.82
0.04,6.6,59,19,34.12
5.3,6.59,95,17,75.35
2.8,7.91,80,17,59.34
3.08,7.52,52,22,48.87
3.8,7.93,70,23,62.57
1.42,7.51,50,17,41.37
3.91,4.2,52,17,46.48
2.27,7.02,81,16,56.28
1.21,6.0,54,15,43.63
4.15,9.37,100,19,80.55
5.98,5.28,98,21,75.92
4.45,4.13,84,19,67.35
4.85,8.19,78,24,67.06
1.96,7.37,64,17,49.82
0.0,7.21,66,16,36.59
5.98,7.61,72,23,78.88
7.11,6.86,78,17,77.04
6.09,6.31,54,15,69.0
2.33,7.25,69,20,55.32
0.69,5.41,75,21,48.61
0.87,9.22,54,20,48.14
0.0,6.02,78,24,46.83
2.79,5.18,61,22,45.36
6.21,7.58,54,19,67.08
2.72,5.76,88,23,62.28
3.6,8.79,74,19,63.42
5.75,4.01,79,24,66.81
2.19,4.53,54,21,42.42
7.07,6.44,66,20,69.18
6.98,7.2,51,20,70.34
2.74,5.89,97,20,55.76
1.84,6.6,85,20,57.66
4.39,9.59,84,17,68.71
2.3,5.95,100,19,60.32
0.69,4.58,99,16,50.46
5.56,6.65,72,24,68.74
5.43,5.3,55,24,70.8
3.31,7.86,100,17,65.99
0.47,7.75,87,24,41.95
0.54,6.8,50,15,34.2
3.21,7.57,84,24,65.71
2.0,5.4,52,23,42.18
2.32,8.42,55,18,44.62
5.04,6.15,86,19,74.72
4.47,9.52,71,15,66.33
5.76,6.52,81,16,68.27
1.02,6.32,61,24,37.2
2.31,6.71,87,19,55.92
4.52,7.88,82,24,72.09
3.9,9.17,93,24,75.5
6.06,7.54,97,20,78.6
3.84,10.0,80,20,75.27
6.7,5.77,51,22,66.88
4.08,6.69,53,18,52.83
5.12,5.34,90,22,79.65
2.35,6.24,83,22,44.98
3.03,6.01,54,17,48.76
4.82,4.8,83,23,63.96
6.23,8.4,50,18,64.04
4.46,7.89,62,17,66.9
2.83,6.4,51,21,44.81
5.75,7.48,89,18,78.63
0.0,6.38,90,16,51.27
0.16,6.66,99,17,49.21
4.36,7.76,98,21,74.6
3.03,6.97,73,19,61.79
4.21,7.03,89,20,85.43
3.13,4.13,84,19,63.73
4.14,8.23,59,22,62.14
1.37,8.96,55,17,46.34
4.14,8.54,75,24,68.7
4.99,6.2,70,22,58.81
5.44,8.47,70,15,70.05
7.03,7.65,93,23,89.25
3.49,5.7,53,22,56.64
3.55,6.55,78,23,57.85
0.0,6.85,98,16,52.42
1.94,4.0,71,20,46.33
2.61,7.29,52,18,46.54
5.1,5.32,80,23,61.8
1.78,5.42,53,16,40.93
4.59,7.23,70,17,68.37
3.0,6.48,95,15,68.36
2.65,5.5,58,17,44.85
3.5,7.23,80,16,66.59
2.22,5.71,86,17,55.52
2.14,5.71,99,18,63.17
0.0,8.76,87,22,54.87
2.5,7.24,76,22,51.45
2.04,7.5,61,21,55.54
1.97,9.35,82,22,59.31
3.83,6.65,71,16,63.72
4.32,6.05,58,20,62.58
3.46,6.07,70,17,57.74
4.99,9.78,60,17,63.75
4.15,6.86,73,21,73.56
2.41,5.6,91,18,54.29
2.07,7.2,55,21,44.23
3.63,6.07,87,19,56.87
4.15,6.38,55,19,59.46
5.8,9.44,66,21,74.02
5.38,7.19,56,21,59.24
1.92,5.08,64,15,48.1
2.8,6.34,68,20,52.1
4.34,4.22,92,23,54.96
5.14,5.86,68,23,65.76
4.88,8.5,81,17,79.04
2.87,5.92,94,21,63.67
0.49,10.0,55,23,35.9
1.0,4.0,64,21,34.16
3.55,6.33,52,22,54.25
3.68,7.17,54,23,50.47
0.8,7.09,62,21,44.04
3.09,7.84,66,15,60.74
4.26,6.59,51,19,58.27
0.7,8.88,69,18,50.92
5.21,5.16,93,19,74.61
2.24,6.64,84,23,57.46
5.52,5.33,89,15,64.64
1.93,6.26,68,24,57.27
0.95,6.61,80,15,45.32
2.08,7.93,96,22,64.72
2.81,5.48,70,19,51.71
2.22,6.58,99,22,64.98
2.57,7.03,75,17,58.5
3.67,7.22,85,18,71.39
2.66,5.33,78,19,55.8
2.87,7.35,72,19,58.35
0.0,8.75,62,22,51.54
3.78,8.73,87,16,68.77
2.82,6.58,82,17,60.96
6.22,7.78,86,20,82.04
1.12,6.76,74,16,52.51
0.0,8.6,56,20,40.51
4.24,8.02,50,23,59.65
3.69,5.26,92,16,65.48
0.98,6.77,54,21,37.56
0.0,6.01,51,21,36.76
6.07,6.86,99,16,90.09
5.83,5.27,82,15,70.94
0.0,6.82,64,15,44.79
2.08,6.77,96,23,61.95
6.33,6.81,65,24,73.34
2.05,7.38,89,24,62.87
2.02,4.69,62,23,46.42
2.43,8.17,88,16,62.36
0.76,8.26,73,17,53.66
0.0,9.11,57,16,42.17
5.11,6.85,95,18,82.47
0.0,7.39,73,22,46.79
3.49,8.57,73,24,57.97
4.77,5.95,51,16,60.98
0.1,7.74,53,24,34.5
1.15,5.89,100,21,59.39
5.43,7.78,63,24,66.04
4.07,7.59,75,16,64.78
1.77,5.66,66,24,47.51
5.4,7.77,51,22,68.57
5.41,6.34,99,24,86.17
3.54,6.76,79,23,68.37
1.2,8.22,71,17,47.72
2.17,8.62,62,16,45.8
3.57,7.62,76,18,60.85
2.62,7.02,73,17,59.3
4.88,8.06,68,23,57.35
0.0,6.51,51,22,36.85
0.01,8.34,73,22,43.72
3.36,6.07,86,22,66.73
2.02,6.67,100,21,58.79
1.75,5.61,86,18,53.31
0.0,6.87,61,18,34.35
3.04,9.27,53,23,52.14
2.89,9.29,58,23,49.27
4.31,9.44,56,22,60.9
3.14,6.04,83,16,63.66
2.73,10.0,77,21,65.02
5.35,8.77,85,15,71.04
0.38,8.53,63,17,45.09
4.07,7.37,63,22,67.2
0.0,4.66,82,20,44.82
1.32,6.06,84,18,49.52
0.57,6.37,90,16,50.1
4.56,6.78,52,21,53.13
2.87,6.36,89,23,62.11
2.97,6.96,82,18,67.89
0.79,7.72,100,23,55.48
2.4,7.11,57,21,42.08
1.47,6.7,90,17,40.54
3.77,6.61,59,17,63.24
1.02,9.13,90,19,54.35
5.66,6.42,71,18,67.15
0.0,8.17,53,22,43.41
1.39,7.03,86,20,52.24
6.35,4.2,58,16,65.16
2.13,10.0,96,18,69.17
0.37,8.85,65,17,39.46
3.44,10.0,54,24,59.26
2.05,8.33,53,17,51.25
1.33,7.08,81,23,49.34
0.81,7.86,81,21,44.89
8.54,6.28,60,21,68.02
2.5,5.72,77,20,57.01
0.0,10.0,80,21,53.73
5.99,6.57,76,23,74.29
4.22,7.21,61,17,56.66
1.47,7.71,63,17,50.56
1.13,6.65,58,23,41.72
4.35,8.45,80,17,70.37
2.51,6.85,59,15,45.77
0.0,10.0,91,24,55.38
6.57,4.14,61,15,73.34
2.13,6.0,96,15,56.25
5.99,8.62,78,24,79.09
5.56,4.64,51,17,53.36
1.0,7.29,77,16,46.33
5.07,6.5,50,19,56.58
1.7,6.82,100,21,69.24
0.0,8.82,89,17,58.38
2.15,7.22,55,16,58.03
3.8,5.87,91,15,62.87
2.07,8.53,74,24,55.12
2.39,7.35,69,17,64.61
5.29,4.93,94,23,68.17
3.21,6.0,77,15,57.3
1.31,6.87,73,18,55.35
4.4,8.15,69,18,65.01
3.4,6.81,66,15,57.35
0.0,8.43,72,18,52.29
3.86,7.11,61,15,51.28
3.78,5.98,85,23,62.96
3.04,7.09,53,22,60.11
4.78,8.09,86,16,73.69
1.66,6.72,70,15,46.62
3.67,5.35,83,19,60.1
0.0,7.3,82,23,49.76
3.81,5.64,68,16,57.0
6.91,9.25,63,17,82.61
1.01,8.71,79,19,50.17
1.48,6.65,69,23,51.87
1.58,7.69,74,21,52.14
3.26,6.87,74,24,64.02
0.87,9.26,91,17,64.63
3.84,4.58,55,20,51.91
4.69,7.29,51,24,60.66
4.07,5.57,54,22,57.38
0.0,7.63,56,18,35.61
4.99,4.18,50,21,54.51
4.87,7.49,53,23,56.64
4.66,9.91,78,19,74.61
3.75,6.18,78,20,65.14
3.44,4.74,75,15,61.16
5.06,7.99,77,15,77.56
6.85,6.53,92,15,85.6
1.09,8.42,92,21,70.55
5.16,8.65,56,21,67.92
2.83,8.55,83,21,61.84
2.74,6.96,78,23,57.15
0.0,9.74,85,24,47.51
2.43,8.19,55,19,51.42
1.01,5.91,90,23,47.37
2.07,6.02,100,20,57.9
0.8,8.96,52,15,46.62
2.1,8.0,74,21,66.13
2.19,5.92,83,16,51.78
3.19,6.46,58,20,51.75
0.0,6.9,82,17,41.58
0.11,8.23,59,21,44.34
3.72,6.67,98,20,68.2
1.41,8.97,52,24,32.81
5.15,7.54,68,24,66.09
3.45,9.04,50,23,47.9
4.21,5.28,77,21,62.71
5.82,9.25,98,21,88.24
2.38,8.75,90,19,68.85
1.85,7.11,70,16,56.3
4.74,6.21,85,19,71.35
4.02,8.95,78,15,66.82
2.63,6.31,98,16,61.73
5.78,6.99,85,22,67.97
2.58,7.76,93,18,63.87
3.07,5.3,64,24,51.51
3.04,6.73,80,19,68.14
1.13,5.62,82,22,54.14
3.16,4.67,86,22,58.3
5.79,10.0,98,17,95.81
3.89,6.02,82,20,63.13
3.06,7.94,64,22,56.93
2.68,10.0,74,20,64.77
3.66,6.05,70,16,59.77
4.5,5.11,100,21,74.61
4.22,9.64,58,23,66.81
2.34,5.6,74,15,47.81
3.65,6.38,91,18,65.67
3.96,6.14,78,22,65.5
0.99,7.23,66,15,45.01
3.34,4.27,59,19,50.38
0.0,7.93,77,15,53.48
3.97,7.7,66,17,59.15
4.32,8.3,71,20,75.42
4.5,8.27,81,22,71.01
2.21,7.68,78,18,58.03
3.62,6.54,69,24,59.6
5.85,7.09,83,19,79.79
5.83,6.02,99,18,79.1
2.94,7.29,76,24,55.26
3.28,5.81,69,17,52.78
5.22,7.21,99,19,83.15
0.0,6.34,59,20,38.4
2.35,5.77,65,23,53.11
5.67,8.58,58,24,67.62
4.95,8.19,52,16,71.55
3.74,7.09,56,22,57.48
0.0,4.39,54,16,34.04
2.9,5.68,69,15,48.68
1.82,6.88,65,15,42.33
3.66,7.71,74,18,64.86
1.38,7.73,71,18,50.69
0.95,7.35,89,15,60.14
0.0,7.05,72,20,37.76
5.44,6.68,78,16,71.95
2.2,6.06,68,22,48.56
3.31,9.48,98,22,77.54
3.0,8.55,84,20,58.83
0.87,7.87,95,16,60.43
0.48,5.3,62,18,37.58
0.99,5.23,55,19,40.92
1.55,6.95,54,23,37.78
3.73,6.23,69,20,61.31
1.41,5.29,78,22,46.54
6.49,7.16,100,15,91.44
5.05,4.17,96,15,83.89
4.62,6.86,90,16,78.69
2.76,7.76,81,20,59.5
6.03,7.72,94,24,79.76
2.56,4.29,75,16,57.2
2.94,4.22,79,23,53.14
3.34,6.68,87,17,62.76
4.4,6.05,53,19,50.11
4.27,5.17,92,24,61.56
2.05,4.0,83,16,59.15
1.93,5.68,100,16,61.68
4.28,6.85,99,24,75.01
4.43,6.65,97,19,75.15
2.21,5.2,50,19,37.55
0.0,5.5,65,20,35.25
2.59,6.49,92,16,72.01
4.25,5.76,85,17,66.84
6.61,7.48,51,23,58.88
0.6,7.84,65,19,35.73
2.15,7.68,65,21,48.87
2.22,5.36,50,23,44.48
5.71,7.5,73,16,78.24
2.93,7.54,71,22,61.12
1.19,9.23,88,22,60.42
4.12,9.96,55,23,65.46
2.19,8.86,75,24,60.22
0.55,6.31,98,17,48.56
1.21,5.84,76,21,54.62
6.47,6.7,85,24,74.41
3.77,6.14,74,19,58.14
3.22,10.0,87,18,78.36
2.5,8.43,96,19,65.15
3.58,7.93,51,16,47.57
3.56,8.2,57,21,56.18
3.58,9.06,81,15,65.48
3.23,7.93,96,22,63.51
4.74,6.71,79,22,71.23
3.05,8.11,53,19,46.4
1.04,8.1,72,22,53.93
1.78,5.32,88,16,49.28
0.0,10.0,89,20,58.44
7.05,6.08,84,18,88.16
4.73,9.31,83,23,75.59
1.34,6.76,70,15,45.61
2.44,8.74,60,19,59.53
1.73,7.08,61,15,43.28
6.09,4.84,65,17,56.83
0.16,8.6,70,24,49.21
3.23,9.21,82,16,78.49
2.78,6.99,81,23,64.59
4.65,8.29,52,17,61.99
2.79,5.96,79,18,62.71
0.0,7.09,92,22,50.47
2.5,8.66,53,19,45.16
1.06,7.57,63,23,36.15
3.16,7.77,95,23,75.31
5.87,8.54,95,15,88.64
0.0,9.53,84,24,58.78
1.4,8.7,58,24,48.1
1.89,7.5,76,23,47.13
2.24,6.98,92,21,58.21
4.48,7.29,52,21,55.86
2.65,5.07,80,16,48.49
3.83,7.4,72,15,65.62
1.75,5.28,72,20,45.69
3.46,6.44,54,23,52.09
4.56,8.13,71,23,71.38
1.54,6.41,84,22,52.1
4.56,9.11,86,16,75.14
3.1,6.94,73,19,56.72
5.09,8.81,82,15,78.56
2.6,6.59,92,17,67.13
3.76,6.84,83,16,72.21
2.92,8.73,71,22,65.74
2.81,6.73,69,18,56.02
3.52,7.56,59,23,51.16
4.07,6.36,50,16,55.47
0.5,4.0,54,19,32.37
5.87,6.1,59,24,67.84
0.0,9.19,88,22,59.11
1.63,7.5,99,20,66.77
2.81,8.34,99,22,72.74
3.82,8.39,58,20,59.14
6.15,8.17,62,16,70.24
0.0,9.39,76,15,46.18
1.98,6.52,89,22,61.36
0.0,9.23,82,23,57.79
3.06,8.01,98,16,55.42
3.54,7.67,79,17,63.12
6.18,4.0,87,16,72.39
3.24,7.6,93,23,66.54
5.09,8.38,91,16,82.49
4.17,7.35,73,20,65.65
2.13,8.88,64,22,56.27
0.18,8.94,94,20,61.83
3.55,6.58,64,18,60.49
0.02,7.16,59,16,27.34
5.59,6.6,71,19,71.54
2.68,6.37,66,18,48.84
5.39,7.15,80,16,75.41
2.04,7.35,51,22,39.37
3.54,4.0,66,21,49.27
3.42,6.94,71,22,58.95
2.91,7.61,71,20,56.23
2.13,7.19,93,17,46.82
3.78,6.89,52,21,55.92
1.15,5.48,66,24,43.33
0.58,5.04,67,22,43.58
5.49,6.2,58,24,57.76
4.45,4.28,65,23,58.15
3.13,6.94,90,15,67.07
6.33,5.74,71,20,78.14
2.46,7.3,68,23,58.56
5.65,6.16,84,21,81.51
3.35,4.08,96,23,68.65
0.95,5.53,56,22,37.57
6.7,7.28,58,17,64.78
4.98,8.17,50,21,57.83
2.76,6.59,84,18,69.35
4.45,7.38,91,18,75.62
2.19,6.72,65,22,58.44
4.66,6.68,56,16,60.19
0.0,5.78,72,19,42.15
0.96,6.95,67,17,46.68
4.96,6.08,97,24,72.98
2.5,9.07,82,18,60.87
3.42,5.99,93,22,67.16
0.31,7.26,95,24,58.64
6.7,5.4,87,23,86.66
5.38,6.7,71,19,67.65
2.6,5.48,88,16,60.75
2.19,6.15,59,24,47.03
5.06,8.46,52,23,76.35
6.96,6.93,63,18,66.83
4.91,8.24,63,23,60.48
7.34,6.68,57,20,75.67
1.16,8.1,80,17,51.36
1.36,8.23,70,15,44.65
0.62,8.07,70,19,46.35
3.88,8.43,70,20,65.1
3.35,7.73,94,20,78.04
2.7,6.36,72,24,50.95
4.62,4.88,93,18,71.27
5.46,5.86,50,18,53.15
0.0,7.59,100,23,54.07
1.81,8.67,67,17,53.45
4.64,7.73,51,20,57.46
2.06,6.53,100,23,61.3
1.4,6.36,92,19,55.27
5.04,7.05,84,20,74.16
0.42,7.91,84,22,55.98
2.4,7.05,100,16,62.04
3.66,6.25,53,16,51.85
1.85,5.73,60,20,47.83
4.57,5.93,52,22,52.94
1.86,5.96,94,18,62.82
5.82,6.9,69,21,75.48
2.75,5.79,54,22,43.09
4.34,6.16,64,21,64.75
4.49,8.03,80,15,64.4
1.74,7.88,70,24,55.17
0.0,9.54,69,20,50.91
3.72,7.51,54,20,53.8
3.14,4.89,91,22,63.92
4.11,4.69,50,19,52.48
2.55,7.19,89,18,62.21
2.14,6.93,57,15,43.41
7.02,6.62,91,17,84.22
0.06,5.23,90,16,47.66
4.47,5.56,50,18,51.83
1.85,8.61,100,24,63.81
2.33,8.53,77,16,56.98
2.37,7.4,77,22,52.58
1.39,7.94,59,19,41.01
4.14,5.28,90,18,64.07
5.78,7.47,69,17,79.0
3.94,6.03,66,22,65.83
3.21,8.87,100,20,70.18
1.03,7.73,91,24,51.48
4.03,4.68,80,24,64.6
7.31,5.17,86,24,80.52
2.24,6.88,60,24,42.33
2.25,5.64,75,21,58.85
1.88,8.67,91,20,62.53
2.02,4.22,68,24,52.33
0.0,6.89,55,20,33.36
3.81,4.62,88,23,58.12
1.31,6.43,79,22,57.91
0.0,5.14,82,17,47.25
4.51,6.89,70,23,71.15
0.84,5.63,74,23,46.53
2.32,5.96,52,16,43.52
5.93,8.6,89,20,79.1
0.18,6.33,52,17,30.89
0.0,4.0,72,17,26.75
3.54,6.75,80,17,59.54
5.3,9.12,85,18,77.46
0.0,7.54,54,21,36.44
3.82,8.39,98,24,75.01
4.16,6.08,91,15,82.47
0.0,7.96,50,15,33.29
4.6,6.31,57,22,62.21
4.75,7.48,99,21,80.63
2.38,8.76,91,19,64.9
5.5,5.39,94,20,82.3
5.27,4.3,75,17,68.29
3.21,6.37,63,23,53.49
2.1,7.49,64,22,53.65
1.05,9.47,97,21,66.16
2.92,7.13,69,16,56.97
4.14,7.94,73,24,70.25
2.35,5.97,50,19,49.78
0.0,6.01,67,21,40.73
5.54,7.52,61,15,66.29
3.38,9.38,60,15,61.31
2.24,7.04,58,19,59.43
4.71,7.4,58,17,64.32
6.05,5.98,89,20,83.49
0.0,6.15,79,21,33.03
3.87,8.68,54,15,57.96
0.15,4.82,60,18,35.27
4.0,5.86,99,16,70.84
3.26,6.64,72,15,57.34
4.27,7.16,61,17,46.18
2.0,6.87,70,24,47.26
0.0,8.19,97,17,50.48
2.1,10.0,77,18,58.3
3.81,5.41,80,19,64.97
5.03,7.41,79,15,72.29
0.66,5.99,89,24,50.56
5.05,8.39,68,21,71.43
1.7,9.76,54,16,55.86
3.72,6.92,93,17,65.28
1.98,8.51,51,20,43.83
3.36,5.55,83,19,67.13
4.78,8.9,71,19,72.07
0.55,9.59,76,15,46.02
1.64,6.8,76,24,49.62
3.37,8.01,78,17,61.85
7.8,5.13,87,16,90.85
1.27,6.07,51,24,51.53
7.08,7.82,95,21,89.04
7.01,10.0,100,19,96.09
2.81,4.27,54,17,50.96
2.4,7.29,74,15,54.16
1.62,8.9,84,17,74.74
2.86,9.75,86,23,66.61
0.19,6.7,66,24,43.08
2.85,8.94,78,20,70.69
5.99,8.11,67,19,72.36
1.78,9.67,67,20,46.35
2.52,6.7,51,23,42.27
0.0,7.15,51,19,27.27
3.75,6.07,65,15,59.84
3.53,6.56,68,15,50.87
3.13,6.55,95,18,58.52
2.57,5.78,64,19,53.12
2.41,9.7,71,21,61.92
4.0,7.09,78,21,69.23
2.94,6.28,59,23,44.72
3.63,6.4,51,22,50.36
3.43,4.68,87,20,64.7
5.25,7.92,70,23,66.68
4.35,5.7,68,17,60.34
3.39,6.08,90,17,73.64
6.04,8.71,84,19,76.96
3.84,6.2,78,20,58.09
5.61,7.69,65,23,68.04
4.21,6.17,88,19,65.91
0.0,6.24,90,21,44.78
5.61,6.06,57,22,70.44
3.27,6.73,62,17,54.52
2.9,4.92,83,20,63.26
3.56,8.14,53,17,54.26
2.31,10.0,61,16,43.21
3.45,7.89,75,24,64.7
1.82,5.62,72,22,41.79
5.55,8.01,55,19,71.79
2.77,4.68,90,19,56.42
2.23,5.85,91,22,56.97
1.15,6.34,64,17,39.89
3.54,8.57,53,17,65.82
3.37,8.05,67,23,55.79
3.78,4.86,51,19,49.85
0.95,8.22,85,24,62.34
0.0,6.17,52,16,35.22
4.25,7.91,58,16,66.12
5.97,5.86,82,23,65.58
0.95,6.84,77,19,50.3
6.18,5.76,96,18,87.84
3.57,6.85,90,16,58.31
2.99,5.22,83,24,59.52
2.2,5.72,54,19,34.4
0.23,6.05,98,22,33.03
4.98,5.54,91,15,81.14
1.45,6.43,72,23,50.22
1.44,7.13,62,16,47.42
4.98,8.99,63,15,68.33
0.0,5.32,74,17,46.21
0.0,5.44,53,23,39.02
2.96,7.05,81,20,55.33
3.59,4.55,52,17,47.52
3.97,7.37,96,16,62.76
2.4,7.02,81,16,57.43
8.06,7.82,57,23,86.33
2.54,10.0,57,18,57.74
2.54,7.09,94,16,60.02
1.41,6.19,83,18,54.23
3.25,8.44,92,24,69.52
4.23,6.98,98,17,76.77
5.41,6.75,61,23,62.18
0.02,9.68,65,15,42.06
2.51,8.13,61,15,64.66
3.89,5.57,81,20,67.44
4.17,5.62,50,20,53.98
3.01,5.0,88,22,65.62
4.08,5.35,55,15,56.45
1.38,8.69,98,18,62.53
6.12,6.24,82,20,72.12
4.99,4.32,99,22,76.94
0.31,7.69,81,22,55.2
0.85,7.25,98,23,67.5
0.91,6.33,64,18,50.54
4.36,6.05,50,21,58.0
0.43,7.03,92,22,61.61
2.34,7.11,96,18,70.01
3.91,7.6,65,15,62.17
2.87,4.38,89,18,57.13
3.52,5.35,84,18,64.81
0.87,6.33,74,23,50.45
4.19,5.0,58,20,55.46
1.77,7.72,74,19,51.6
2.35,8.01,58,19,48.43
3.48,6.09,73,20,53.44
3.21,7.99,96,21,62.1
3.05,7.34,85,17,52.98
1.5,7.35,89,23,58.35
2.4,4.0,96,16,50.37
3.0,6.71,75,20,62.56
0.25,6.1,87,18,49.97
2.07,6.79,91,15,54.4
3.78,6.36,51,18,58.38
0.45,5.2,76,21,41.45
5.31,6.5,68,17,61.64
5.54,6.38,59,21,65.16
0.51,8.35,90,18,54.58
